"lang","co","link"
"af","Afghanistan","https://af.wikipedia.org/wiki/Afghanistan"
"sq","Afghanistan","https://sq.wikipedia.org/wiki/Afganistani"
"am","Afghanistan","https://am.wikipedia.org/wiki/%E1%8A%A0%E1%8D%8D%E1%8C%8B%E1%8A%92%E1%88%B5%E1%89%B3%E1%8A%95"
"ar","Afghanistan","https://ar.wikipedia.org/wiki/%D8%A3%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86"
"hy","Afghanistan","https://hy.wikipedia.org/wiki/%D4%B1%D6%86%D5%B2%D5%A1%D5%B6%D5%BD%D5%BF%D5%A1%D5%B6"
"az","Afghanistan","https://az.wikipedia.org/wiki/%C6%8Ffqan%C4%B1stan"
"eu","Afghanistan","https://eu.wikipedia.org/wiki/Afganistan"
"be","Afghanistan","https://be.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D1%96%D1%81%D1%82%D0%B0%D0%BD"
"bn","Afghanistan","https://bn.wikipedia.org/wiki/%E0%A6%86%E0%A6%AB%E0%A6%97%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8"
"bs","Afghanistan","https://bs.wikipedia.org/wiki/Afganistan"
"bg","Afghanistan","https://bg.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D0%B8%D1%81%D1%82%D0%B0%D0%BD"
"ca","Afghanistan","https://ca.wikipedia.org/wiki/Afganistan"
"ceb","Afghanistan","https://ceb.wikipedia.org/wiki/Nasod_nga_Afghano"
"zh","Afghanistan","https://zh.wikipedia.org/wiki/%E9%98%BF%E5%AF%8C%E6%B1%97"
"zh-TW","Afghanistan","https://zh-classical.wikipedia.org/wiki/%E9%98%BF%E5%AF%8C%E6%B1%97%E6%96%AF%E5%9D%A6"
"co","Afghanistan","https://co.wikipedia.org/wiki/Afghanistan"
"hr","Afghanistan","https://hr.wikipedia.org/wiki/Afganistan"
"cs","Afghanistan","https://cs.wikipedia.org/wiki/Afgh%C3%A1nist%C3%A1n"
"da","Afghanistan","https://da.wikipedia.org/wiki/Afghanistan"
"nl","Afghanistan","https://nl.wikipedia.org/wiki/Afghanistan"
"en","Afghanistan","https://en.wikipedia.org/wiki/Afghanistan"
"eo","Afghanistan","https://eo.wikipedia.org/wiki/Afganio"
"et","Afghanistan","https://et.wikipedia.org/wiki/Afganistan"
"tl","Afghanistan","https://tl.wikipedia.org/wiki/Apganistan"
"fi","Afghanistan","https://fi.wikipedia.org/wiki/Afganistan"
"fr","Afghanistan","https://fr.wikipedia.org/wiki/Afghanistan"
"fy","Afghanistan","https://fy.wikipedia.org/wiki/Afganistan"
"gl","Afghanistan","https://gl.wikipedia.org/wiki/Afganist%C3%A1n"
"ka","Afghanistan","https://ka.wikipedia.org/wiki/%E1%83%90%E1%83%95%E1%83%A6%E1%83%90%E1%83%9C%E1%83%94%E1%83%97%E1%83%98"
"de","Afghanistan","https://de.wikipedia.org/wiki/Afghanistan"
"el","Afghanistan","https://el.wikipedia.org/wiki/%CE%91%CF%86%CE%B3%CE%B1%CE%BD%CE%B9%CF%83%CF%84%CE%AC%CE%BD"
"gu","Afghanistan","https://gu.wikipedia.org/wiki/%E0%AA%85%E0%AA%AB%E0%AA%98%E0%AA%BE%E0%AA%A8%E0%AA%BF%E0%AA%B8%E0%AB%8D%E0%AA%A4%E0%AA%BE%E0%AA%A8"
"ht","Afghanistan","https://ht.wikipedia.org/wiki/Afganistan"
"ha","Afghanistan","https://ha.wikipedia.org/wiki/Afghanistan"
"haw","Afghanistan","https://haw.wikipedia.org/wiki/%CA%BBApekanikana"
"hi","Afghanistan","https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%AB%E0%A4%BC%E0%A4%97%E0%A4%BC%E0%A4%BE%E0%A4%A8%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8"
"hu","Afghanistan","https://hu.wikipedia.org/wiki/Afganiszt%C3%A1n"
