"lat","long","altitude"
0,-179.75,-5555
0,-179.25,-5392
0,-178.75,-5435
0,-178.25,-5143
0,-177.75,-5423
0,-177.25,-5453
0,-176.75,-5406
0,-176.25,-5542
0,-175.75,-5482
0,-175.25,-5379
0,-174.75,-5367
0,-174.25,-5378
0,-173.75,-5475
0,-173.25,-5417
0,-172.75,-5604
0,-172.25,-5654
0,-171.75,-5648
0,-171.25,-5608
0,-170.75,-5759
0,-170.25,-5561
0,-169.75,-5432
0,-169.25,-5378
0,-168.75,-5549
0,-168.25,-5628
0,-167.75,-5069
0,-167.25,-5309
0,-166.75,-5225
0,-166.25,-5290
0,-165.75,-4022
0,-165.25,-5761
0,-164.75,-5502
0,-164.25,-5191
0,-163.75,-4946
0,-163.25,-5164
0,-162.75,-5186
0,-162.25,-5097
0,-161.75,-5066
0,-161.25,-5092
0,-160.75,-5186
0,-160.25,-5127
0,-159.75,-5063
0,-159.25,-5040
0,-158.75,-4753
0,-158.25,-4840
0,-157.75,-3816
0,-157.25,-4378
0,-156.75,-4596
0,-156.25,-3412
0,-155.75,-4015
0,-155.25,-4327
0,-154.75,-4757
0,-154.25,-4786
0,-153.75,-4789
0,-153.25,-4714
0,-152.75,-4549
0,-152.25,-4427
0,-151.75,-4049
0,-151.25,-4204
0,-150.75,-3913
0,-150.25,-4411
0,-149.75,-4364
0,-149.25,-4530
0,-148.75,-4300
0,-148.25,-4311
0,-147.75,-4343
0,-147.25,-4225
0,-146.75,-4389
0,-146.25,-4278
0,-145.75,-4298
0,-145.25,-4291
0,-144.75,-4283
0,-144.25,-4441
0,-143.75,-4520
0,-143.25,-4378
0,-142.75,-4470
0,-142.25,-4398
0,-141.75,-4329
0,-141.25,-4327
0,-140.75,-4358
0,-140.25,-4387
0,-139.75,-4348
0,-139.25,-4377
0,-138.75,-4357
0,-138.25,-4363
0,-137.75,-4254
0,-137.25,-4250
0,-136.75,-4563
0,-136.25,-4394
0,-135.75,-4242
0,-135.25,-4393
0,-134.75,-3250
0,-134.25,-4022
0,-133.75,-4381
0,-133.25,-4417
0,-132.75,-4271
0,-132.25,-4368
0,-131.75,-4328
0,-131.25,-4380
0,-130.75,-4504
0,-130.25,-4480
0,-129.75,-4492
0,-129.25,-4522
0,-128.75,-4524
0,-128.25,-4589
0,-127.75,-4424
0,-127.25,-4677
0,-126.75,-4595
0,-126.25,-4566
0,-125.75,-4750
0,-125.25,-4602
0,-124.75,-4675
0,-124.25,-4627
0,-123.75,-4555
0,-123.25,-4459
0,-122.75,-4420
0,-122.25,-4439
0,-121.75,-4317
0,-121.25,-4322
0,-120.75,-4251
0,-120.25,-4164
0,-119.75,-4067
0,-119.25,-4000
0,-118.75,-4178
0,-118.25,-4085
0,-117.75,-4115
0,-117.25,-4138
0,-116.75,-4082
0,-116.25,-4006
0,-115.75,-4073
0,-115.25,-4018
0,-114.75,-4046
0,-114.25,-4083
0,-113.75,-4168
0,-113.25,-4040
0,-112.75,-3962
0,-112.25,-3962
0,-111.75,-3977
0,-111.25,-3868
0,-110.75,-3830
0,-110.25,-3806
0,-109.75,-3818
0,-109.25,-3779
0,-108.75,-3730
