"rk","id","loc","lon","lat","MATCHUP","MATCHUP.1","TIME","TV","tickets","Date","dt","free","gm"
1,81,"FirstBank Stadium, Nashville, TN",-86.808941,36.1438717,"Hawai'i","@  Vanderbilt","7:30 PM","","Tickets as low as $9","Saturday, August 26, 2023","2023-08-26",TRUE,326
2,52,"Center Parc Stadium, Atlanta, GA",-84.3893472,33.736095,"Rhode Island","@  Georgia State","7:00 PM","","Tickets as low as $20","Thursday, August 31, 2023","2023-08-31",TRUE,240
3,53,"Mercedes-Benz Stadium, Atlanta, GA",-84.4005905,33.7553232,"Louisville","@  Georgia Tech","7:30 PM","","Tickets as low as $79","Friday, September 1, 2023","2023-09-01",TRUE,594
4,57,"Sanford Stadium, Athens, GA",-83.3733392,33.9498057,"UT Martin","@  Georgia","6:00 PM","","Tickets as low as $69","Saturday, September 2, 2023","2023-09-02",TRUE,739
5,7,"Camping World Stadium, Orlando, FL",-81.4027525,28.5390192,"LSU","@  Florida State","7:30 PM","","Tickets as low as $174","Sunday, September 3, 2023","2023-09-03",TRUE,204
6,76,"Wallace Wade Stadium, Durham, NC",-78.941737,35.9953593,"Clemson","@  Duke","8:00 PM",NA,"Tickets as low as $70","Monday, September 4, 2023","2023-09-04",TRUE,860
7,95,"Cardinal Stadium, Louisville, KY",-85.7588096,38.2058652,"Murray State","@  Louisville","7:30 PM",NA,"Tickets as low as $10","Thursday, September 7, 2023","2023-09-07",TRUE,215
8,100,"David Booth Kansas Memorial Stadium, Lawrence, KS",-95.2463686,38.9629418,"Illinois","@  Kansas","7:30 PM",NA,"Tickets as low as $33","Friday, September 8, 2023","2023-09-08",TRUE,262
9,77,"Razorback Stadium, Fayetteville, AR",-94.1789239,36.0680503,"Kent State","@  Arkansas","4:00 PM","","Tickets as low as $14","Saturday, September 9, 2023","2023-09-09",TRUE,675
10,4,"Hard Rock Stadium, Miami Gardens, FL",-80.2395979,25.958326,"Bethune-Cookman","@  Miami","7:30 PM",NA,"Tickets as low as $10","Thursday, September 14, 2023","2023-09-14",TRUE,358
11,102,"SECU Stadium, College Park, MD",-76.9472423,38.9902668,"Virginia","@  Maryland","7:00 PM","FS1","Tickets as low as $19","Friday, September 15, 2023","2023-09-15",TRUE,755
12,74,"Kenan Stadium, Chapel Hill, NC",-79.0478649,35.9069535,"Minnesota","@  North Carolina","3:30 PM","","Tickets as low as $55","Saturday, September 16, 2023","2023-09-16",TRUE,458
13,1055,"Brooks Stadium (SC), Conway, SC",-79.0174575,33.7928031,"Georgia State","@  Coastal Carolina","7:30 PM",NA,"Tickets as low as $31","Thursday, September 21, 2023","2023-09-21",TRUE,164
14,119,"Ross-Ade Stadium, West Lafayette, IN",-86.9184385,40.434359,"Wisconsin","@  Purdue","7:00 PM","FS1","Tickets as low as $31","Friday, September 22, 2023","2023-09-22",TRUE,710
15,98,"The Dome at America's Center, Saint Louis, MO",-90.1885068,38.6328232,"Memphis","@  Missouri","TBD","","Tickets as low as $36","Saturday, September 23, 2023","2023-09-23",TRUE,815
16,82,"Chapman Stadium, Tulsa, OK",-95.9437969,36.1489569,"Temple","@  Tulsa","7:30 PM","","Tickets as low as $22","Thursday, September 28, 2023","2023-09-28",TRUE,244
17,71,"Carter-Finley Stadium, Raleigh, NC",-78.7195655,35.8008001,"Louisville","@  NC State","7:00 PM","","Tickets as low as $57","Friday, September 29, 2023","2023-09-29",TRUE,223
18,75,"Neyland Stadium, Knoxville, TN",-83.9250108,35.9550195,"South Carolina","@  Tennessee","TBD","","Tickets as low as $113","Saturday, September 30, 2023","2023-09-30",TRUE,621
19,73,"Johnny ""Red"" Floyd Stadium, Murfreesboro, TN",-86.3681619,35.8513192,"Jacksonville State","@  Middle Tennessee","8:00 PM","","Tickets as low as $53","Wednesday, October 4, 2023","2023-10-04",TRUE,427
20,36,"Joe Aillet Stadium, Ruston, LA",-92.655838,32.5320245,"Western Kentucky","@  Louisiana Tech","8:00 PM","","Tickets as low as $48","Thursday, October 5, 2023","2023-10-05",TRUE,417
21,79,"Boone Pickens Stadium, Stillwater, OK",-97.066489,36.1256372,"Kansas State","@  Oklahoma State","7:30 PM",NA,"Tickets as low as $57","Friday, October 6, 2023","2023-10-06",TRUE,151
22,50,"Protective Stadium, Birmingham, AL",-86.8091966,33.5277899,"South Florida","@  UAB","TBD","","Tickets as low as $51","Saturday, October 7, 2023","2023-10-07",TRUE,663
23,56,"Burgess-Snow Field, Jacksonville, AL",-85.7662941,33.8203824,"Liberty","@  Jacksonville State","7:30 PM","","Tickets as low as $51","Tuesday, October 10, 2023","2023-10-10",TRUE,184
24,31,"Aggie Memorial Stadium, Las Cruces, NM",-106.7417131,32.2794855,"Sam Houston","@  New Mexico State","9:00 PM","CBSSN","Tickets as low as $40","Wednesday, October 11, 2023","2023-10-11",TRUE,49
25,14,"TDECU Stadium, Houston, TX",-95.3489815,29.722565,"West Virginia","@  Houston","7:00 PM","FS1","Tickets as low as $27","Thursday, October 12, 2023","2023-10-12",TRUE,813
26,66,"Simmons Bank Liberty Stadium, Memphis, TN",-89.9774275,35.1210966,"Tulane","@  Memphis","7:00 PM","","Tickets as low as $25","Friday, October 13, 2023","2023-10-13",TRUE,770
