lat,long,altitude,pix
 7.0, 118.30,NA,NA
 7.0, 118.85,-2485,NA
 7.0, 119.35,-3226,NA
 7.0, 119.85,-3784,NA
 7.0, 120.35,-4327,NA
 7.0, 120.85,-3969,NA
 7.0, 121.35, -929,NA
 7.0, 121.85,  -80,NA
 7.0, 122.35,   -6,NA
 7.0, 122.85,-1229,NA
 7.0, 123.35,-4497,NA
 7.0, 123.85,-1990,NA
 7.0, 124.35,   29,NA
 7.0, 124.85,   14,NA
 7.0, 125.35, 1477,NA
 7.0, 125.85,-1022,NA
 7.0, 126.40,  117,NA
 7.0, 126.90,-4749,NA
 7.0, 127.40,-8789,NA
 7.0, 127.90,-5406,NA
 7.0, 128.40,-5684,NA
 7.0, 128.90,-5542,NA
 7.0, 129.40,-5304,NA
 7.0, 129.90,-5575,NA
 7.0, 130.40,-5606,NA
 7.0, 130.90,-5621,NA
 7.0, 131.40,-5086,NA
 7.0, 131.90,-4643,NA
 7.0, 132.40,-4478,NA
 7.0, 132.90,-3422,NA
 7.0, 133.45,-2577,NA
 7.0, 133.95,-2930,NA
 7.0, 134.45,-4230,NA
 7.0, 134.95,-5172,NA
 7.0, 135.45,-3632,NA
 7.0, 135.95,-4172,NA
 7.0, 136.45,-4508,NA
 7.0, 136.95,-4215,NA
 7.0, 137.45,-4277,NA
 7.0, 137.95,-4335,NA
 7.0, 138.45,-4178,NA
 7.0, 138.95,-4085,NA
 7.0, 139.45,-3029,NA
 7.0, 139.95,-3188,NA
 7.0, 140.50,-3878,NA
 7.0, 141.00,-2782,NA
 7.0, 141.50,-2854,NA
 7.0, 142.00,-1541,NA
 7.0, 142.50,-3358,NA
 7.0, 143.00,-3253,NA
 7.0, 143.50,-4609,NA
 7.0, 144.00,-2416,NA
 7.0, 144.50,-2909,NA
 7.0, 145.00,-2535,NA
 7.0, 145.50,-3350,NA
 7.0, 146.00,-2817,NA
 7.0, 146.50,-3202,NA
 7.0, 147.00,-3390,NA
 7.0, 147.50,-3425,NA
 7.0, 148.05,-3869,NA
 7.0, 148.55,-2297,NA
 7.0, 149.05, -768,NA
 7.0, 149.55,-3065,NA
 7.0, 150.05,-4385,NA
 7.0, 150.55,-4427,NA
 7.0, 151.05,-2828,NA
 7.0, 151.55,-2525,NA
 7.0, 152.05,-1742,NA
 7.0, 152.55, -299,NA
 7.0, 153.05,-2865,NA
 7.0, 153.55,-4622,NA
 7.0, 154.05,-4591,NA
 7.0, 154.55,-4585,NA
 7.0, 155.10,-4213,NA
 7.0, 155.60,-4381,NA
 7.0, 156.10,-4465,NA
 7.0, 156.60,-4511,NA
 7.0, 157.10,-4306,NA
 7.0, 157.60,-3536,NA
 7.0, 158.10, -146,NA
 7.0, 158.60,-3618,NA
 7.0, 159.10,-4634,NA
 7.0, 159.60,-4648,NA
 7.0, 160.10,-4663,NA
 7.0, 160.60,-4562,NA
 7.0, 161.10,-4821,NA
 7.0, 161.60,-4834,NA
 7.0, 162.15,-4894,NA
 7.0, 162.65,-4082,NA
 7.0, 163.15,-4869,NA
 7.0, 163.65,-5032,NA
 7.0, 164.15,-5077,NA
 7.0, 164.65,-5114,NA
 7.0, 165.15,-5156,NA
 7.0, 165.65,-5161,NA
 7.0, 166.15,-5092,NA
 7.0, 166.65,-5027,NA
 7.0, 167.15,-4983,NA
 7.0, 167.65,-4888,NA
 7.0, 168.15,-4928,NA
 7.0, 168.65,-4299,NA
 7.0, 169.15,-4717,NA
 7.0, 169.70,-4592,NA
 7.0, 170.20,-4392,NA
 7.0, 170.70,-4313,NA
 7.0, 171.20,-2246,NA
 7.0, 171.70,  -21,NA
 7.0, 172.20,-3935,NA
 7.0, 172.70,-4105,NA
 7.0, 173.20,-4969,NA
 7.0, 173.70,-5120,NA
 7.0, 174.20,-5244,NA
 7.0, 174.70,-5569,NA
 7.0, 175.20,-5618,NA
 7.0, 175.70,-5552,NA
 7.0, 176.20,-5367,NA
 7.0, 176.75,-5562,NA
 7.0, 177.25,-5552,NA
 7.0, 177.75,-5648,NA
 7.0, 178.25,-5432,NA
 7.0, 178.75,-5552,NA
 7.0, 179.25,-5670,NA
 7.0, 179.75,-5256,NA
 7.0,-179.75,-5358,NA
 7.0,-179.25,-5464,NA
 7.0,-178.75,-5562,NA
 7.0,-178.25,-5377,NA
 7.0,-177.75,-4066,NA
 7.0,-177.25,-3249,NA
 7.0,-176.75,-3219,NA
 7.0,-176.20,-4542,NA
 7.0,-175.70,-5250,NA
 7.0,-175.20,-5867,NA
 7.0,-174.70,-5965,NA
 7.0,-174.20,-6015,NA
 7.0,-173.70,-5980,NA
 7.0,-173.20,-5800,NA
 7.0,-172.70,-5876,NA
 7.0,-172.20,-5739,NA
 7.0,-171.70,-5389,NA
 7.0,-171.20,-5627,NA
 7.0,-170.70,-6030,NA
 7.0,-170.20,-6081,NA
 7.0,-169.70,-5761,NA
 7.0,-169.15,-5425,NA
 7.0,-168.65,-5117,NA
 7.0,-168.15,-5064,NA
 7.0,-167.65,-4593,NA
 7.0,-167.15,-4759,NA
 7.0,-166.65,-4956,NA
 7.0,-166.15,-4942,NA
 7.0,-165.65,-5157,NA
 7.0,-165.15,-5038,NA
 7.0,-164.65,-4869,NA
 7.0,-164.15,-4810,NA
 7.0,-163.65,-4694,NA
 7.0,-163.15,-4480,NA
 7.0,-162.65,-4363,NA
 7.0,-162.15,-3010,NA
 7.0,-161.60,-2943,NA
 7.0,-161.10,-3392,NA
 7.0,-160.60,-4172,NA
 7.0,-160.10,-3666,NA
 7.0,-159.60,-4238,NA
 7.0,-159.10,-4496,NA
 7.0,-158.60,-4386,NA
 7.0,-158.10,-4607,NA
 7.0,-157.60,-4454,NA
 7.0,-157.10,-4646,NA
 7.0,-156.60,-4964,NA
 7.0,-156.10,-4998,NA
 7.0,-155.60,-4943,NA
 7.0,-155.10,-4981,NA
 7.0,-154.55,-5132,NA
 7.0,-154.05,-4858,NA
 7.0,-153.55,-5116,NA
 7.0,-153.05,-5105,NA
 7.0,-152.55,-5172,NA
 7.0,-152.05,-5719,NA
 7.0,-151.55,-5226,NA
 7.0,-151.05,-5154,NA
 7.0,-150.55,-5115,NA
 7.0,-150.05,-5110,NA
 7.0,-149.55,-4980,NA
 7.0,-149.05,-4674,NA
 7.0,-148.55,-4313,NA
 7.0,-148.05,-4663,NA
 7.0,-147.50,-4885,NA
 7.0,-147.00,-5092,NA
 7.0,-146.50,-5026,NA
 7.0,-146.00,-5012,NA
 7.0,-145.50,-5189,NA
 7.0,-145.00,-5063,NA
 7.0,-144.50,-5085,NA
 7.0,-144.00,-5233,NA
 7.0,-143.50,-4956,NA
 7.0,-143.00,-4978,NA
 7.0,-142.50,-5181,NA
 7.0,-142.00,-5193,NA
 7.0,-141.50,-5046,NA
 7.0,-141.00,-5172,NA
 7.0,-140.50,-5008,NA
 7.0,-139.95,-5003,NA
 7.0,-139.45,-5048,NA
 7.0,-138.95,-4972,NA
 7.0,-138.45,-4895,NA
 7.0,-137.95,-4734,NA
 7.0,-137.45,-4762,NA
 7.0,-136.95,-4725,NA
 7.0,-136.45,-4663,NA
 7.0,-135.95,-4558,NA
 7.0,-135.45,-4593,NA
 7.0,-134.95,-4697,NA
 7.0,-134.45,-4692,NA
 7.0,-133.95,-4541,NA
 7.0,-133.45,-4351,NA
 7.0,-132.90,-4701,NA
 7.0,-132.40,-4389,NA
 7.0,-131.90,-4393,NA
 7.0,-131.40,-4619,NA
 7.0,-130.90,-4403,NA
 7.0,-130.40,-4243,NA
 7.0,-129.90,-4311,NA
 7.0,-129.40,-4352,NA
 7.0,-128.90,-4485,NA
 7.0,-128.40,-4483,NA
 7.0,-127.90,-4547,NA
 7.0,-127.40,-4426,NA
 7.0,-126.90,-4473,NA
 7.0,-126.40,-4440,NA
 7.0,-125.85,-4491,NA
 7.0,-125.35,-4351,NA
 7.0,-124.85,-4529,NA
 7.0,-124.35,-4483,NA
 7.0,-123.85,-4486,NA
 7.0,-123.35,-4436,NA
 7.0,-122.85,-4389,NA
 7.0,-122.35,-4229,NA
 7.0,-121.85,-4134,NA
 7.0,-121.35,-4172,NA
 7.0,-120.85,-4280,NA
 7.0,-120.35,-3880,NA
 7.0,-119.85,-4011,NA
 7.0,-119.35,-3842,NA
 7.0,-118.85,-3938,NA
 7.0,-118.30,-4054,NA
 7.0,-117.80,-3575,NA
 7.0,-117.30,-4148,NA
 7.0,-116.80,-4115,NA
 7.0,-116.30,-4071,NA
 7.0,-115.80,-4195,NA
 7.0,-115.30,-4151,NA
 7.0,-114.80,-4141,NA
 7.0,-114.30,-3999,NA
 7.0,-113.80,-4090,NA
 7.0,-113.30,-3911,NA
 7.0,-112.80,-3858,NA
 7.0,-112.30,-3756,NA
 7.0,-111.80,-4012,NA
 7.0,-111.25,-3531,NA
 7.0,-110.75,-3948,NA
 7.0,-110.25,-3768,NA
 7.0,-109.75,-3926,NA
 7.0,-109.25,-3571,NA
 7.0,-108.75,-3300,NA
 7.0,-108.25,-3800,NA
 7.0,-107.75,-3866,NA
 7.0,-107.25,-3860,NA
 7.0,-106.75,-3741,NA
 7.0,-106.25,-3810,NA
 7.0,-105.75,-3792,NA
 7.0,-105.25,-3624,NA
 7.0,-104.75,-3548,NA
 7.0,-104.20,-3309,NA
 7.0,-103.70,-3306,NA
 7.0,-103.20,-3182,NA
 7.0,-102.70,-2814,NA
 7.0,-102.20,-3289,NA
 7.0,-101.70,-3264,NA
 7.0,-101.20,-3245,NA
 7.0,-100.70,-3345,NA
 7.0,-100.20,-3403,NA
 7.0, -99.70,-3444,NA
 7.0, -99.20,-3369,NA
 7.0, -98.70,-3563,NA
 7.0, -98.20,-3385,NA
 7.0, -97.70,-3462,NA
 7.0, -97.15,-3529,NA
 7.0, -96.65,-3578,NA
 7.0, -96.15,-3682,NA
 7.0, -95.65,-3731,NA
 7.0, -95.15,-3559,NA
 7.0, -94.65,-3178,NA
 7.0, -94.15,-3597,NA
 7.0, -93.65,-3628,NA
 7.0, -93.15,-3556,NA
 7.0, -92.65,-3496,NA
 7.0, -92.15,-3584,NA
 7.0, -91.65,-3679,NA
 7.0, -91.15,-3719,NA
 7.0, -90.65,-3707,NA
 7.0, -90.15,-3607,NA
 7.0, -89.60,-3498,NA
 7.0, -89.10,-3535,NA
 7.0, -88.60,-3459,NA
 7.0, -88.10,-3169,NA
 7.0, -87.60,-3312,NA
 7.0, -87.10,-3225,NA
 7.0, -86.60,-2982,NA
 7.0, -86.10,-2839,NA
 7.0, -85.60,-2566,NA
 7.0, -85.10,-1872,NA
 7.0, -84.60,-1356,NA
 7.0, -84.10,-1193,NA
 7.0, -83.60,-1917,NA
 7.0, -83.10,-2318,NA
 7.0, -82.55,-3255,NA
 7.0, -82.05,-3049,NA
 7.0, -81.55, -919,NA
 7.0, -81.05,-1898,NA
 7.0, -80.55,-2027,NA
 7.0, -80.05,-3011,NA
 7.0, -79.55,-3105,NA
 7.0, -79.05,-3378,NA
 7.0, -78.55,-3934,NA
 7.0, -78.05,-3154,NA
 7.0, -77.55,  145,NA
 7.0, -77.05,   17,NA
 7.0, -76.55,  726,NA
 7.0, -76.05, 1842,NA
 7.0, -75.50, 2097,NA
 7.0, -75.00, 1307,NA
 7.0, -74.50,  505,NA
 7.0, -74.00,   82,NA
 7.0, -73.50,  284,NA
 7.0, -73.00, 1845,NA
 7.0, -72.50, 3685,NA
 7.0, -72.00,  277,NA
 7.0, -71.50,  174,NA
 7.0, -71.00,  138,NA
 7.0, -70.50,  123,NA
 7.0, -70.00,  102,NA
 7.0, -69.50,   93,NA
 7.0, -69.00,   79,NA
