"lat","long","altitude","pix"
21.5,-98.05,65,NA
21.5,-97.5,-38,NA
21.5,-97,-422,NA
21.5,-96.45,-1753,NA
21.5,-95.9,-2355,NA
21.5,-95.35,-2893,NA
21.5,-94.85,-3315,NA
21.5,-94.3,-3466,NA
21.5,-93.75,-3047,NA
21.5,-93.2,-3019,NA
21.5,-92.7,-2990,NA
21.5,-92.15,-60,NA
21.5,-91.6,-47,NA
21.5,-91.05,-30,NA
21.5,-90.55,-28,NA
21.5,-90,-19,NA
21.5,-89.45,-12,NA
21.5,-88.95,-7,NA
21.5,-88.4,6,NA
21.5,-87.85,9,NA
21.5,-87.3,-2,NA
21.5,-86.8,2,NA
21.5,-86.25,-1100,NA
21.5,-85.7,-2005,NA
21.5,-85.15,-3083,NA
21.5,-84.65,-3548,NA
21.5,-84.1,-3140,NA
21.5,-83.55,-2565,NA
21.5,-83,19,NA
21.5,-82.5,-2434,NA
21.5,-81.95,-2675,NA
21.5,-81.4,-3865,NA
21.5,-80.85,-1920,NA
21.5,-80.35,-3455,NA
21.5,-79.8,-1329,NA
21.5,-79.25,-1,NA
21.5,-78.7,-1,NA
21.5,-78.2,59,NA
21.5,-77.65,117,NA
21.5,-77.1,14,NA
21.5,-76.55,-2498,NA
21.5,-76.05,-2295,NA
21.5,-75.5,-2652,NA
21.5,-74.95,-2641,NA
21.5,-74.4,-2813,NA
21.5,-73.9,-2689,NA
21.5,-73.35,-2189,NA
21.5,-72.8,-295,NA
21.5,-72.25,-385,NA
21.5,-71.75,-1,NA
21.5,-71.2,-726,NA
21.5,-70.65,-3950,NA
21.5,-70.1,-5106,NA
21.5,-69.6,-5545,NA
21.5,-69.05,-5530,NA
21.5,-68.5,-5477,NA
21.5,-67.95,-5306,NA
21.5,-67.45,-5161,NA
21.5,-66.9,-5347,NA
21.5,-66.35,-5510,NA
21.5,-65.8,-5477,NA
21.5,-65.3,-5438,NA
21.5,-64.75,-5492,NA
21.5,-64.2,-5555,NA
21.5,-63.65,-5487,NA
21.5,-63.15,-5581,NA
21.5,-62.6,-5742,NA
21.5,-62.05,-5599,NA
21.5,-61.5,-5630,NA
21.5,-61,-5352,NA
21.5,-60.45,-5497,NA
21.5,-59.9,-5454,NA
21.5,-59.35,-5656,NA
21.5,-58.85,-5506,NA
21.5,-58.3,-5286,NA
21.5,-57.75,-5254,NA
21.5,-57.2,-5081,NA
21.5,-56.7,-5004,NA
21.5,-56.15,-5710,NA
21.5,-55.6,-5256,NA
21.5,-55.05,-5226,NA
21.5,-54.55,-5249,NA
21.5,-54,-5481,NA
21.5,-53.45,-5253,NA
21.5,-52.95,-5599,NA
21.5,-52.4,-4878,NA
21.5,-51.85,-4751,NA
21.5,-51.3,-4795,NA
21.5,-50.8,-4525,NA
21.5,-50.25,-4655,NA
21.5,-49.7,-5022,NA
21.5,-49.15,-4765,NA
21.5,-48.65,-4196,NA
21.5,-48.1,-4449,NA
21.5,-47.55,-4318,NA
21.5,-47,-3969,NA
21.5,-46.5,-3158,NA
21.5,-45.95,-3181,NA
21.5,-45.4,-2880,NA
21.5,-44.85,-3103,NA
21.5,-44.35,-2966,NA
21.5,-43.8,-3858,NA
21.5,-43.25,-3890,NA
21.5,-42.7,-4108,NA
21.5,-42.2,-4741,NA
21.5,-41.65,-4768,NA
21.5,-41.1,-4195,NA
21.5,-40.55,-4914,NA
21.5,-40.05,-4934,NA
21.5,-39.5,-5098,NA
21.5,-38.95,-4982,NA
21.5,-38.4,-5584,NA
21.5,-37.9,-5501,NA
21.5,-37.35,-6212,NA
