lat,long,altitude,pix,rain,snow
-2.0, 140.75,-3122,#134455, 53234.1,  0.0
-2.0, 141.25,-4096,#083947, 53891.7,  0.0
-2.0, 141.75,-3419,#14495B, 54511.1,  0.0
-2.0, 142.25,-3086,#1B4D58, 56280.7,  0.0
-2.0, 142.75,-3267,#104A58, 57122.7,  0.0
-2.0, 143.25,-2432,#205565, 56535.4,  0.0
-2.0, 143.75,-1398,#246372, 56409.1,  0.0
-2.0, 144.25,-1117,#245967, 56482.1,  0.0
-2.0, 144.75,-1080,#256571, 56591.7,  0.0
-2.0, 145.25, -723,#255F6D, 56180.5,  0.0
-2.0, 145.75, -807,#286673, 56037.0,  0.0
-2.0, 146.25, -343,#2D737F, 52497.2,  0.0
-2.0, 146.75,   61,#3D5C3C, 58579.5,  0.0
-2.0, 147.25,   -5,#263B36, 49768.8,  0.0
-2.0, 147.75,  -96,#35757F, 51156.4,  0.0
-2.0, 148.25, -967,#2A5E69, 52149.0,  0.0
-2.0, 148.75,-1079,#1F5561, 51525.2,  0.0
-2.0, 149.25,-1491,#205F6E, 49952.3,  0.0
-2.0, 149.75,-1337,#236573, 49728.4,  0.0
-2.0, 150.25,-1222,#276675, 48150.6,  0.0
-2.0, 150.75,-1445,#215C6C, 47940.7,  0.0
-2.0, 151.25,-1965,#1D5667, 47746.8,  0.0
-2.0, 151.75,-2154,#1C5664, 47389.8,  0.0
-2.0, 152.25,-4009,#0B3A4A, 47673.8,  0.0
-2.0, 152.75,-5216,#053040, 45273.8,  0.0
-2.0, 153.25,-1982,#224E5B, 43771.1,  0.0
-2.0, 153.75,-3086,#104354, 43074.5,  0.0
-2.0, 154.25,-3093,#14495B, 42911.2,  0.0
-2.0, 154.75,-2396,#1A5261, 41884.0,  0.0
-2.0, 155.25,-2096,#1E5C6B, 39910.8,  0.0
-2.0, 155.75,-1854,#205A68, 39617.9,  0.0
-2.0, 156.25,-1706,#225D6D, 38763.8,  0.0
-2.0, 156.75,-1618,#235E6E, 38208.0,  0.0
-2.0, 157.25,-1610,#225D6D, 37209.7,  0.0
-2.0, 157.75,-1810,#205A68, 37390.4,  0.0
-2.0, 158.25,-1923,#1F5869, 37108.4,  0.0
-2.0, 158.75,-2164,#195361, 36440.7,  0.0
-2.0, 159.25,-2235,#1C5664, 35549.9,  0.0
-2.0, 159.75,-2327,#195160, 34884.0,  0.0
-2.0, 160.25,-2858,#124757, 34222.1,  0.0
-2.0, 160.75,-2659,#164E5D, 33799.5,  0.0
-2.0, 161.25,-2919,#164B5B, 32917.5,  0.0
-2.0, 161.75,-2788,#184D5D, 32460.6,  0.0
-2.0, 162.25,-3580,#0C3F50, 32175.0,  0.0
-2.0, 162.75,-4004,#0C4151, 30785.0,  0.0
-2.0, 163.25,-4081,#0A394B, 30225.4,  0.0
-2.0, 163.75,-4195,#003547, 30527.2,  0.0
-2.0, 164.25,-4066,#093C4F, 30610.3,  0.0
-2.0, 164.75,-4468,#003849, 30070.2,  0.0
-2.0, 165.25,-4596,#003649, 29429.2,  0.0
-2.0, 165.75,-4246,#023D4F, 28658.5,  0.0
-2.0, 166.25,-4365,#053E51, 28457.5,  0.0
-2.0, 166.75,-3851,#0F4456, 28174.1,  0.0
-2.0, 167.25,-3954,#0C3F52, 27734.6,  0.0
-2.0, 167.75,-3845,#0E4154, 27101.1,  0.0
-2.0, 168.25,-3586,#0F4255, 26275.5,  0.0
-2.0, 168.75,-3806,#104356, 25544.7,  0.0
-2.0, 169.25,-4012,#0C3F52, 24710.7,  0.0
-2.0, 169.75,-4204,#0C3F52, 23909.1,  0.0
-2.0, 170.25,-4163,#093C4F, 23042.8,  0.0
-2.0, 170.75,-4296,#083B4E, 22567.0,  0.0
-2.0, 171.25,-4098,#0B3E51, 22319.4,  0.0
-2.0, 171.75,-3788,#114457, 22416.6,  0.0
-2.0, 172.25,-3885,#0D3B4A, 22131.7,  0.0
-2.0, 172.75,-4306,#023B4E, 21352.3,  0.0
-2.0, 173.25,-4496,#003748, 20611.7,  0.0
-2.0, 173.75,-4589,#023749, 19942.9,  0.0
-2.0, 174.25,-4662,#013447, 19062.6,  0.0
-2.0, 174.75,-4915,#003446, 18286.9,  0.0
-2.0, 175.25,-4569,#01354A, 17724.4,  0.0
-2.0, 175.75,-3635,#031F2B, 17174.9,  0.0
-2.0, 176.25,-3422,#113F4E, 16527.8,  0.0
-2.0, 176.75,-5150,#013145, 16234.0,  0.0
-2.0, 177.25,-5451,#002D41, 16034.1,  0.0
-2.0, 177.75,-5184,#003146, 15830.9,  0.0
-2.0, 178.25,-5601,#002F43, 15764.1,  0.0
-2.0, 178.75,-5470,#002F43, 15475.4,  0.0
-2.0, 179.25,-5388,#002F43, 14817.8,  0.0
-2.0, 179.75,-5293,#002F43, 14462.6,  0.0
-1.5,-179.75,-5214,#003044, 12989.6,  0.0
-1.5,-179.25,-5346,#002C3F, 12577.3,  0.0
-1.5,-178.75,-5485,#002E42, 12030.1,  0.0
-1.5,-178.25,-5415,#002E42, 11708.5,  0.0
-1.5,-177.75,-5280,#002F43, 11693.0,  0.0
-1.5,-177.25,-5651,#002F43, 11206.7,  0.0
-1.5,-176.75,-5603,#002A3F, 11086.8,  0.0
-1.5,-176.25,-5394,#002A42, 10993.5,  0.0
-1.5,-175.75,-5451,#032639, 10655.1,  0.0
-1.5,-175.25,-3331,#0C4153, 10440.6,  0.0
-1.5,-174.75,-4115,#00364A, 10356.7,  0.0
-1.5,-174.25,-4968,#023145,  9996.5,  0.0
