lat,long,altitude,pix,high,low
-16.0,  82.60,-5350,#002F43,28.5, 20.3
-16.0,  83.10,-5066,#002E45,28.5, 20.2
-16.0,  83.65,-5343,#002D41,28.4, 20.2
-16.0,  84.15,-5380,#022D40,28.4, 20.3
-16.0,  84.70,-5147,#003245,28.3, 20.4
-16.0,  85.20,-5097,#003142,28.2, 20.6
-16.0,  85.70,-5013,#023145,28.2, 20.8
-16.0,  86.25,-5121,#013044,28.3, 20.9
-16.0,  86.75,-4425,#073A4F,28.1, 21.1
-16.0,  87.25,-3574,#0F3C4F,28.1, 21.3
-16.0,  87.80,-2685,#194E60,28.0, 21.3
-16.0,  88.30,-2403,#183C4C,28.1, 21.3
-16.0,  88.85,-4483,#012C3F,28.1, 21.3
-16.0,  89.35,-5975,#012C3F,28.0, 21.3
-16.0,  89.85,-4454,#00394D,28.0, 21.3
-16.0,  90.40,-5855,#00293F,27.9, 21.2
-16.0,  90.90,-5186,#002F46,27.9, 21.2
-16.0,  91.45,-5018,#02354A,27.9, 21.1
-16.0,  91.95,-4666,#003041,28.0, 21.0
-16.0,  92.45,-5051,#033045,28.1, 21.0
-16.0,  93.00,-4504,#053A4C,28.4, 21.0
-16.0,  93.50,-5368,#042A3D,28.4, 20.9
-16.0,  94.05,-5613,#012C3D,28.4, 21.0
-16.0,  94.55,-4824,#003245,28.5, 21.0
-16.0,  95.05,-5568,#00273B,28.5, 20.9
-16.0,  95.60,-6053,#002C41,28.5, 20.9
-16.0,  96.10,-5664,#002C41,28.4, 21.1
-16.0,  96.60,-5193,#003044,28.3, 21.1
-16.0,  97.15,-5587,#002D42,28.2, 21.1
-16.0,  97.65,-5254,#003044,28.2, 21.3
-16.0,  98.20,-5698,#002C41,28.2, 21.7
-16.0,  98.70,-5270,#00283B,28.3, 21.9
-16.0,  99.20,-5872,#00293F,28.2, 21.9
-16.0,  99.75,-5129,#02263C,28.2, 21.7
-16.0, 100.25,-6111,#00283E,28.3, 21.7
-16.0, 100.80,-6192,#02283D,28.4, 21.7
-16.0, 101.30,-7063,#001A2D,28.4, 21.9
-16.0, 101.80,-6159,#012A40,28.3, 22.1
-16.0, 102.35,-5649,#002C41,28.3, 22.0
-16.0, 102.85,-5774,#002F43,28.5, 21.8
-16.0, 103.40,-6004,#001C2A,28.6, 21.9
-16.0, 103.90,-5939,#002D42,28.7, 21.9
-16.0, 104.40,-5948,#002C40,28.7, 22.0
-16.0, 104.95,-6122,#002A3F,28.8, 21.3
-16.0, 105.45,-6049,#002B40,28.8, 21.5
-16.0, 105.95,-5854,#012A40,28.8, 21.7
-16.0, 106.50,-5833,#002B40,29.0, 21.5
-16.0, 107.00,-5839,#002A40,29.1, 21.4
-16.0, 107.55,-5742,#00293F,29.0, 21.7
-16.0, 108.05,-5592,#002D42,29.1, 22.3
-16.0, 108.55,-5424,#002D42,29.4, 22.1
-16.0, 109.10,-5613,#002C41,29.5, 22.2
-16.0, 109.60,-5601,#002235,29.5, 22.3
-16.0, 110.15,-5864,#002B40,29.7, 22.2
-16.0, 110.65,-5691,#002E42,29.9, 22.2
-16.0, 111.15,-5390,#003046,30.0, 22.1
-16.0, 111.70,-5018,#013145,30.1, 22.0
-16.0, 112.20,-3981,#003A45,30.2, 22.1
-16.0, 112.75,-3190,#11495A,30.3, 22.3
-16.0, 113.25,-3330,#0E4657,30.4, 22.4
-16.0, 113.75,-3754,#123B4D,30.5, 22.6
-16.0, 114.30,-5513,#002F43,30.7, 22.7
-16.0, 114.80,-5500,#002C39,30.8, 22.9
-16.0, 115.30,-5683,#002C41,30.9, 22.9
-16.0, 115.85,-5492,#003044,31.0, 22.8
-16.0, 116.35,-5235,#002F43,31.0, 22.7
-16.0, 116.90,-5134,#012E43,30.9, 22.9
-16.0, 117.40,-5662,#002D44,30.8, 23.0
-16.0, 117.90,-5738,#002D42,30.8, 23.3
-16.0, 118.45,-5136,#01354A,30.9, 23.6
-16.0, 118.95,-2037,#215C6E,31.2, 23.5
-16.0, 119.50,-1719,#205F6E,31.2, 23.4
-16.0, 120.00,-1300,#236573,31.3, 23.3
-16.0, 120.50, -527,#296D7A,31.2, 23.1
-16.0, 121.05,  -68,#2E727F,30.9, 22.8
-16.0, 121.55,  -68,#2E727F,31.0, 22.4
-16.0, 122.10,  -51,#2D717E,31.0, 22.0
-16.0, 122.60,  -39,#2D737F,30.9, 21.2
-16.0, 123.10,  -18,#205563,31.2, 20.5
-16.0, 123.65,   -4,#276A73,33.7, 17.2
-16.0, 124.15,  -23,#797D5C,36.6, 12.2
-16.0, 124.70,  215,#5E5D3F,40.1,  9.5
-16.0, 125.20,  233,#676147,40.8,  8.2
-16.0, 125.70,  510,#6D6040,41.2,  8.4
-16.0, 126.25,  475,#77653F,40.9, 10.2
-16.0, 126.75,  396,#8B6F47,39.7,  9.4
-16.0, 127.25,  301,#7E6C46,41.1,  9.6
-16.0, 127.80,  190,#87704E,41.2,  8.6
-16.0, 128.30,  129,#8D784B,43.0, 10.0
-16.0, 128.85,   75,#8B7647,41.1, 12.3
-16.0, 129.35,   96,#89764B,43.1, 10.4
-16.0, 129.85,   35,#706C3F,42.8,  9.8
-16.0, 130.40,  175,#897552,43.2,  9.2
-16.0, 130.90,  160,#705B30,43.2,  8.9
-16.0, 131.45,  115,#876B43,42.7,  9.8
-16.0, 131.95,  240,#826A3E,42.4, 10.0
-16.0, 132.45,  221,#8B6E46,43.2,  9.8
-16.0, 133.00,  200,#7F7142,43.1,  8.9
-16.0, 133.50,  195,#7C6B3F,42.7,  8.7
-16.0, 134.05,  181,#6D6F3D,42.5,  8.9
-16.0, 134.55,  211,#71693B,42.3,  9.5
-16.0, 135.05,  165,#76714B,42.1,  8.9
-16.0, 135.60,  132,#887555,42.1,  7.7
-16.0, 136.10,   37,#6B6744,41.2,  7.8
-16.0, 136.60,    5,#71633C,39.4,  7.3
-16.0, 137.15,    3,#7E8051,36.7, 11.4
-16.0, 137.65,   -2,#307584,34.5, 11.9
-16.0, 138.20,   -8,#2D737F,31.4, 17.2
-16.0, 138.70,  -11,#2F7581,31.3, 17.6
-16.0, 139.20,  -11,#2E727F,31.5, 17.9
-16.0, 139.75,  -13,#2E7480,31.6, 18.0
-16.0, 140.25,  -20,#2E7480,31.5, 17.9
-16.0, 140.80,  -20,#2E7480,31.6, 17.3
-16.0, 141.30,   -3,#317171,37.6, 13.1
-16.0, 141.80,   19,#696737,40.4, 12.2
-16.0, 142.35,   48,#6C6A39,40.7, 11.8
-16.0, 142.85,   81,#5E5F35,41.0, 11.1
-16.0, 143.40,  133,#525A29,40.1, 10.4
-16.0, 143.90,  197,#5E5A2B,39.0, 10.4
-16.0, 144.40,  424,#6E603B,38.7,  7.5
-16.0, 144.95,  414,#605D34,35.3,  9.4
-16.0, 145.45,   -1,#1E3C30,32.5, 15.1
-16.0, 145.95,-1098,#1D4956,31.3, 19.7
-16.0, 146.50,-1721,#205B6B,30.8, 20.3
-16.0, 147.00,-1411,#21606F,30.3, 20.5
-16.0, 147.55,-1165,#266574,29.8, 20.6
-16.0, 148.05,-1075,#236271,29.7, 20.5
-16.0, 148.55,-1048,#256775,29.8, 20.4
-16.0, 149.10, -928,#296F7B,29.7, 20.5
