lang~co~link~a1~a2~a3~a4~a5~a6~a7~a8~a9~a10~a11~sum~tot
mi~Jamaica~https://mi.wikipedia.org/wiki/Hamaika~ 0~  0~  2~   5~  2~ 0~   5~   9~  0~  0~ 0~  23~  4200
mr~Jamaica~https://mr.wikipedia.org/wiki/%E0%A4%9C%E0%A4%AE%E0%A5%88%E0%A4%95%E0%A4%BE~ 0~  0~  0~   6~  3~ 0~   5~   4~  2~  0~ 0~  20~  7868
mn~Jamaica~https://mn.wikipedia.org/wiki/%D0%AF%D0%BC%D0%B0%D0%B9%D0%BA%D0%B0~ 0~  0~  0~   8~  7~ 0~  11~   6~  5~  1~ 0~  38~  8624
my~Jamaica~https://my.wikipedia.org/wiki/%E1%80%82%E1%80%BB%E1%80%99%E1%80%B1%E1%80%80%E1%80%AC%E1%80%94%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA%E1%80%84%E1%80%B6~ 0~  0~ 52~  92~ 21~ 0~  27~  42~ 13~  2~ 0~ 249~ 11984
no~Jamaica~https://no.wikipedia.org/wiki/Jamaica~ 0~  0~  9~  34~ 12~ 0~  12~  40~  6~  1~ 0~ 114~ 31808
ps~Jamaica~https://ps.wikipedia.org/wiki/%D8%AC%D9%85%D8%A7%D9%8A%DA%A9%D8%A7~ 0~  0~  0~  19~  6~ 0~  11~  17~ 11~  0~ 0~  64~ 16229
fa~Jamaica~https://fa.wikipedia.org/wiki/%D8%AC%D8%A7%D9%85%D8%A7%D8%A6%DB%8C%DA%A9%D8%A7~ 0~  1~  5~  23~ 11~ 0~   9~  17~  7~  0~ 1~  74~ 22773
pl~Jamaica~https://pl.wikipedia.org/wiki/Jamajka~ 0~  0~  2~  15~  2~ 0~  59~   4~  1~  1~ 0~  84~ 28659
pt~Jamaica~https://pt.wikipedia.org/wiki/Jamaica~ 0~  0~ 18~  11~ 18~ 0~  25~  33~ 24~  0~ 0~ 129~ 43726
pa~Jamaica~https://pa.wikipedia.org/wiki/%E0%A8%9C%E0%A8%AE%E0%A9%88%E0%A8%95%E0%A8%BE~ 0~  0~  0~  10~  4~ 0~   6~   5~  2~  0~ 0~  27~  7624
ro~Jamaica~https://ro.wikipedia.org/wiki/Jamaica~ 0~  0~  0~   1~  2~ 0~   6~   5~  7~  0~ 0~  21~ 19198
ru~Jamaica~https://ru.wikipedia.org/wiki/%D0%AF%D0%BC%D0%B0%D0%B9%D0%BA%D0%B0~ 3~ 92~ 37~ 135~ 28~17~ 170~ 113~ 19~  1~ 1~ 616~ 42802
sm~Jamaica~https://sm.wikipedia.org/wiki/Jamaica~ 0~  0~  1~   0~  0~ 0~   2~   2~  0~  0~ 0~   5~  3973
gd~Jamaica~https://gd.wikipedia.org/wiki/Iaimeuca~ 0~  0~  0~   5~  2~ 0~  13~   3~  0~  0~ 0~  23~  7279
sr~Jamaica~https://sr.wikipedia.org/wiki/%D0%88%D0%B0%D0%BC%D0%B0%D1%98%D0%BA%D0%B0~ 0~  0~  0~   3~  2~ 0~  33~  18~  3~  0~ 0~  59~ 23809
sn~Jamaica~https://sn.wikipedia.org/wiki/Jamaica~ 0~  0~  0~   0~  0~ 0~   4~   1~  0~  0~ 0~   5~  4098
sd~Jamaica~https://sd.wikipedia.org/wiki/%D8%AC%D9%85%D9%8A%DA%AA%D8%A7~ 0~  0~  1~   7~  4~ 1~   3~  15~  1~  0~ 0~  32~  7168
si~Jamaica~https://si.wikipedia.org/wiki/%E0%B6%A2%E0%B7%90%E0%B6%B8%E0%B7%99%E0%B6%BA%E0%B7%92%E0%B6%9A%E0%B7%8F%E0%B7%80~ 0~  0~  0~   1~  1~ 0~   1~   1~  0~  0~ 0~   4~  8895
sk~Jamaica~https://sk.wikipedia.org/wiki/Jamajka~ 0~  0~  3~   4~  2~ 0~   0~   2~  3~  0~ 0~  14~ 15270
sl~Jamaica~https://sl.wikipedia.org/wiki/Jamajka~ 0~  0~  0~   3~  0~ 0~   1~   9~  4~  0~ 0~  17~ 12073
so~Jamaica~https://so.wikipedia.org/wiki/Jamayka~ 0~  0~  2~   6~  9~ 0~  13~  12~  1~  1~ 1~  45~ 10515
es~Jamaica~https://es.wikipedia.org/wiki/Jamaica~ 6~  3~ 19~  76~ 62~ 0~  61~ 107~ 38~  3~ 0~ 375~ 98673
su~Jamaica~https://su.wikipedia.org/wiki/Jamaika~ 0~  0~  0~   2~  0~ 0~   4~   4~  1~  0~ 0~  11~ 14611
sw~Jamaica~https://sw.wikipedia.org/wiki/Jamaika~ 0~  0~  6~  15~ 10~ 0~  20~  21~  7~  1~ 0~  80~ 13380
sv~Jamaica~https://sv.wikipedia.org/wiki/Jamaica~ 0~  0~ 13~  34~ 17~ 1~  30~  27~ 12~  1~ 0~ 135~ 38381
