lang,co,link,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,sum,tot
de,Nigeria,https://de.wikipedia.org/wiki/Nigeria, 0,  2, 108, 274,170, 1, 376, 401,121, 11, 0,1464,191645
el,Nigeria,https://el.wikipedia.org/wiki/%CE%9D%CE%B9%CE%B3%CE%B7%CF%81%CE%AF%CE%B1, 0,  1,   6,  22,  4, 2,   8,  15,  6,  1, 0,  65, 37427
gu,Nigeria,https://gu.wikipedia.org/wiki/%E0%AA%A8%E0%AA%BE%E0%AA%87%E0%AA%9C%E0%AB%80%E0%AA%B0%E0%AA%BF%E0%AA%AF%E0%AA%BE, 0,  0,   0,   1,  8, 0,   2,   3,  2,  0, 0,  16,  6334
ht,Nigeria,https://ht.wikipedia.org/wiki/Nijerya, 0,  0,   1,   4,  1, 0,   8,   2,  2,  0, 0,  18,  5641
ha,Nigeria,https://ha.wikipedia.org/wiki/Najeriya, 1,  0,   3,  30, 12, 5, 108,  31,  3,  3, 0, 196, 15791
hi,Nigeria,https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BE%E0%A4%88%E0%A4%9C%E0%A5%80%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE, 0,  0,   6,  16,  7, 0,  16,  11,  2,  5, 0,  63, 14529
hu,Nigeria,https://hu.wikipedia.org/wiki/Nig%C3%A9ria, 0,  0,  19,  24, 34, 0,  47,  39, 27,  2, 2, 194, 60102
is,Nigeria,https://is.wikipedia.org/wiki/N%C3%ADger%C3%ADa, 0,  0,   0,   0,  0, 0,   0,   0,  0,  0, 0,   0, 13697
ig,Nigeria,https://ig.wikipedia.org/wiki/Naijiria, 0,  1,  21,  83, 26, 0, 115, 105, 10,  0, 0, 361, 21519
id,Nigeria,https://id.wikipedia.org/wiki/Nigeria, 0,  0,   4,   8,  9, 0,  13,  13,  3,  0, 0,  50, 14637
ga,Nigeria,https://ga.wikipedia.org/wiki/An_Nig%C3%A9ir, 0,  0,   0,   7,  1, 0,   5,  10,  3,  0, 0,  26,  8241
it,Nigeria,https://it.wikipedia.org/wiki/Nigeria, 0,  0,   7,  35, 19, 2,  27,  42, 18,  6, 0, 156, 50646
